Kernel,Class,F1-Score,Precision,Recall,k,lambda
WK,0,0.9743589743589743,1.0,0.95,,
WK,1,0.9523809523809523,0.9090909090909091,1.0,,
WK,2,0.9500000000000001,0.95,0.95,,
WK,3,0.9743589743589743,1.0,0.95,,
NGK,0,0.9743589743589743,1.0,0.95,5.0,
NGK,1,0.9523809523809523,0.9090909090909091,1.0,5.0,
NGK,2,0.9500000000000001,0.95,0.95,5.0,
NGK,3,0.9743589743589743,1.0,0.95,5.0,
SSK,0,0.9500000000000001,0.95,0.95,5.0,0.01
SSK,1,0.5172413793103448,0.39473684210526316,0.75,5.0,0.01
SSK,2,0.5142857142857143,0.6,0.45,5.0,0.01
SSK,3,0.29629629629629634,0.5714285714285714,0.2,5.0,0.01
SSK,0,0.9,0.9,0.9,5.0,0.03
SSK,1,0.5652173913043479,0.5,0.65,5.0,0.03
SSK,2,0.6666666666666665,0.75,0.6,5.0,0.03
SSK,3,0.5789473684210527,0.6111111111111112,0.55,5.0,0.03
SSK,0,0.8837209302325583,0.8260869565217391,0.95,5.0,0.05
SSK,1,0.5714285714285713,0.5454545454545454,0.6,5.0,0.05
SSK,2,0.7,0.7,0.7,5.0,0.05
SSK,3,0.5714285714285715,0.6666666666666666,0.5,5.0,0.05
SSK,0,0.9047619047619048,0.8636363636363636,0.95,5.0,0.07
SSK,1,0.48888888888888893,0.44,0.55,5.0,0.07
SSK,2,0.7027027027027027,0.7647058823529411,0.65,5.0,0.07
SSK,3,0.4444444444444445,0.5,0.4,5.0,0.07
SSK,0,0.7999999999999999,0.72,0.9,5.0,0.09
SSK,1,0.46511627906976744,0.43478260869565216,0.5,5.0,0.09
SSK,2,0.6111111111111112,0.6875,0.55,5.0,0.09
SSK,3,0.4444444444444445,0.5,0.4,5.0,0.09
SSK,0,0.9047619047619048,0.8636363636363636,0.95,5.0,0.1
SSK,1,0.56,0.4666666666666667,0.7,5.0,0.1
SSK,2,0.6060606060606061,0.7692307692307693,0.5,5.0,0.1
SSK,3,0.4571428571428572,0.5333333333333333,0.4,5.0,0.1
SSK,0,0.7755102040816326,0.6551724137931034,0.95,5.0,0.3
SSK,1,0.6521739130434783,0.5769230769230769,0.75,5.0,0.3
SSK,2,0.5806451612903226,0.8181818181818182,0.45,5.0,0.3
SSK,3,0.5294117647058824,0.6428571428571429,0.45,5.0,0.3
SSK,0,0.9500000000000001,0.95,0.95,5.0,0.5
SSK,1,0.7804878048780488,0.7619047619047619,0.8,5.0,0.5
SSK,2,0.8571428571428572,0.8181818181818182,0.9,5.0,0.5
SSK,3,0.8648648648648648,0.9411764705882353,0.8,5.0,0.5
SSK,0,0.975609756097561,0.9523809523809523,1.0,5.0,0.7
SSK,1,0.8205128205128205,0.8421052631578947,0.8,5.0,0.7
SSK,2,0.8571428571428572,0.8181818181818182,0.9,5.0,0.7
SSK,3,0.8947368421052632,0.9444444444444444,0.85,5.0,0.7
WK,0,0.975609756097561,0.9523809523809523,1.0,,
WK,1,0.9743589743589743,1.0,0.95,,
WK,2,1.0,1.0,1.0,,
WK,3,1.0,1.0,1.0,,
NGK,0,0.975609756097561,0.9523809523809523,1.0,5.0,
NGK,1,0.9743589743589743,1.0,0.95,5.0,
NGK,2,0.9743589743589743,1.0,0.95,5.0,
NGK,3,0.975609756097561,0.9523809523809523,1.0,5.0,
SSK,0,0.75,0.6428571428571429,0.9,5.0,0.01
SSK,1,0.5925925925925927,0.47058823529411764,0.8,5.0,0.01
SSK,2,0.23076923076923075,0.5,0.15,5.0,0.01
SSK,3,0.625,0.8333333333333334,0.5,5.0,0.01
SSK,0,0.7659574468085106,0.6666666666666666,0.9,5.0,0.03
SSK,1,0.5853658536585366,0.5714285714285714,0.6,5.0,0.03
SSK,2,0.5333333333333333,0.8,0.4,5.0,0.03
SSK,3,0.6666666666666666,0.6363636363636364,0.7,5.0,0.03
SSK,0,0.8181818181818182,0.75,0.9,5.0,0.05
SSK,1,0.6190476190476191,0.5909090909090909,0.65,5.0,0.05
SSK,2,0.5161290322580645,0.7272727272727273,0.4,5.0,0.05
SSK,3,0.6976744186046512,0.6521739130434783,0.75,5.0,0.05
SSK,0,0.8636363636363635,0.7916666666666666,0.95,5.0,0.07
SSK,1,0.5,0.5,0.5,5.0,0.07
SSK,2,0.4117647058823529,0.5,0.35,5.0,0.07
SSK,3,0.6666666666666666,0.6363636363636364,0.7,5.0,0.07
SSK,0,0.7555555555555556,0.68,0.85,5.0,0.09
SSK,1,0.48888888888888893,0.44,0.55,5.0,0.09
SSK,2,0.4,0.6,0.3,5.0,0.09
SSK,3,0.65,0.65,0.65,5.0,0.09
SSK,0,0.851063829787234,0.7407407407407407,1.0,5.0,0.1
SSK,1,0.5116279069767442,0.4782608695652174,0.55,5.0,0.1
SSK,2,0.5,0.6666666666666666,0.4,5.0,0.1
SSK,3,0.5789473684210527,0.6111111111111112,0.55,5.0,0.1
SSK,0,0.8260869565217392,0.7307692307692307,0.95,5.0,0.3
