Kernel,Class,F1-Score,Precision,Recall,k,lambda
WK,0,0.9473684210526316,1.0,0.9,,
WK,1,0.9523809523809523,0.9090909090909091,1.0,,
WK,2,1.0,1.0,1.0,,
NGK,0,1.0,1.0,1.0,5.0,
NGK,1,0.9523809523809523,0.9090909090909091,1.0,5.0,
NGK,2,0.9473684210526316,1.0,0.9,5.0,
SSK,0,0.8,0.6666666666666666,1.0,5.0,0.01
SSK,1,0.6956521739130435,0.6153846153846154,0.8,5.0,0.01
SSK,2,0.33333333333333337,1.0,0.2,5.0,0.01
SSK,0,0.8181818181818182,0.75,0.9,5.0,0.03
SSK,1,0.7826086956521738,0.6923076923076923,0.9,5.0,0.03
SSK,2,0.6666666666666666,1.0,0.5,5.0,0.03
SSK,0,0.7826086956521738,0.6923076923076923,0.9,5.0,0.05
SSK,1,0.8181818181818182,0.75,0.9,5.0,0.05
SSK,2,0.6666666666666666,1.0,0.5,5.0,0.05
SSK,0,0.8181818181818182,0.75,0.9,5.0,0.07
SSK,1,0.8571428571428572,0.8181818181818182,0.9,5.0,0.07
SSK,2,0.7058823529411764,0.8571428571428571,0.6,5.0,0.07
SSK,0,0.8181818181818182,0.75,0.9,5.0,0.09
SSK,1,0.9473684210526316,1.0,0.9,5.0,0.09
SSK,2,0.8421052631578948,0.8888888888888888,0.8,5.0,0.09
SSK,0,0.8181818181818182,0.75,0.9,5.0,0.1
SSK,1,0.9473684210526316,1.0,0.9,5.0,0.1
SSK,2,0.8421052631578948,0.8888888888888888,0.8,5.0,0.1
SSK,0,0.9,0.9,0.9,5.0,0.3
SSK,1,0.9,0.9,0.9,5.0,0.3
SSK,2,0.8000000000000002,0.8,0.8,5.0,0.3
SSK,0,0.8571428571428572,0.8181818181818182,0.9,5.0,0.5
SSK,1,0.8421052631578948,0.8888888888888888,0.8,5.0,0.5
SSK,2,0.9,0.9,0.9,5.0,0.5
SSK,0,0.9523809523809523,0.9090909090909091,1.0,5.0,0.7
SSK,1,0.9523809523809523,0.9090909090909091,1.0,5.0,0.7
SSK,2,0.888888888888889,1.0,0.8,5.0,0.7
WK,0,0.9473684210526316,1.0,0.9,,
WK,1,0.9523809523809523,0.9090909090909091,1.0,,
WK,2,1.0,1.0,1.0,,
NGK,0,0.888888888888889,1.0,0.8,5.0,
NGK,1,0.8695652173913044,0.7692307692307693,1.0,5.0,
NGK,2,0.9473684210526316,1.0,0.9,5.0,
SSK,0,0.7,0.7,0.7,5.0,0.01
SSK,1,0.56,0.4666666666666667,0.7,5.0,0.01
SSK,2,0.6666666666666666,1.0,0.5,5.0,0.01
