Kernel,k,lambda,Class,F1-Score,Precision,Recall
SSK k comb,"(3, 7)",0.5,0,0.8181818181818182,0.75,0.9
SSK k comb,"(3, 7)",0.5,1,0.8108108108108107,0.8823529411764706,0.75
SSK k comb,"(3, 7)",0.5,2,0.7368421052631577,0.7777777777777778,0.7
SSK k comb,"(3, 7)",0.5,3,0.8780487804878048,0.8571428571428571,0.9
SSK k comb,"(4, 5)",0.5,0,0.8181818181818182,0.75,0.9
SSK k comb,"(4, 5)",0.5,1,0.8108108108108107,0.8823529411764706,0.75
SSK k comb,"(4, 5)",0.5,2,0.7692307692307692,0.7894736842105263,0.75
SSK k comb,"(4, 5)",0.5,3,0.9,0.9,0.9
SSK k comb,"(4, 6)",0.5,0,0.8181818181818182,0.75,0.9
SSK k comb,"(4, 6)",0.5,1,0.8108108108108107,0.8823529411764706,0.75
SSK k comb,"(4, 6)",0.5,2,0.7692307692307692,0.7894736842105263,0.75
SSK k comb,"(4, 6)",0.5,3,0.9,0.9,0.9
SSK k comb,"(4, 7)",0.5,0,0.8181818181818182,0.75,0.9
SSK k comb,"(4, 7)",0.5,1,0.8108108108108107,0.8823529411764706,0.75
SSK k comb,"(4, 7)",0.5,2,0.7692307692307692,0.7894736842105263,0.75
SSK k comb,"(4, 7)",0.5,3,0.9,0.9,0.9
SSK k comb,"(3, 4)",0.5,0,0.9230769230769231,0.9473684210526315,0.9
SSK k comb,"(3, 4)",0.5,1,0.8837209302325583,0.8260869565217391,0.95
SSK k comb,"(3, 4)",0.5,2,0.9473684210526316,1.0,0.9
SSK k comb,"(3, 4)",0.5,3,0.9500000000000001,0.95,0.95
SSK k comb,"(3, 5)",0.5,0,0.9230769230769231,0.9473684210526315,0.9
SSK k comb,"(3, 5)",0.5,1,0.8837209302325583,0.8260869565217391,0.95
SSK k comb,"(3, 5)",0.5,2,0.9473684210526316,1.0,0.9
SSK k comb,"(3, 5)",0.5,3,0.9500000000000001,0.95,0.95
SSK k comb,"(3, 6)",0.5,0,0.9230769230769231,0.9473684210526315,0.9
SSK k comb,"(3, 6)",0.5,1,0.8837209302325583,0.8260869565217391,0.95
SSK k comb,"(3, 6)",0.5,2,0.9473684210526316,1.0,0.9
SSK k comb,"(3, 6)",0.5,3,0.9500000000000001,0.95,0.95
SSK k comb,"(3, 7)",0.5,0,0.9230769230769231,0.9473684210526315,0.9
SSK k comb,"(3, 7)",0.5,1,0.8837209302325583,0.8260869565217391,0.95
SSK k comb,"(3, 7)",0.5,2,0.9473684210526316,1.0,0.9
SSK k comb,"(3, 7)",0.5,3,0.9500000000000001,0.95,0.95
SSK k comb,"(4, 5)",0.5,0,0.9230769230769231,0.9473684210526315,0.9
SSK k comb,"(4, 5)",0.5,1,0.9047619047619048,0.8636363636363636,0.95
SSK k comb,"(4, 5)",0.5,2,0.9473684210526316,1.0,0.9
SSK k comb,"(4, 5)",0.5,3,0.975609756097561,0.9523809523809523,1.0
SSK k comb,"(4, 6)",0.5,0,0.9230769230769231,0.9473684210526315,0.9
SSK k comb,"(4, 6)",0.5,1,0.9047619047619048,0.8636363636363636,0.95
SSK k comb,"(4, 6)",0.5,2,0.9473684210526316,1.0,0.9
SSK k comb,"(4, 6)",0.5,3,0.975609756097561,0.9523809523809523,1.0
SSK k comb,"(4, 7)",0.5,0,0.9230769230769231,0.9473684210526315,0.9
SSK k comb,"(4, 7)",0.5,1,0.9047619047619048,0.8636363636363636,0.95
SSK k comb,"(4, 7)",0.5,2,0.9473684210526316,1.0,0.9
SSK k comb,"(4, 7)",0.5,3,0.975609756097561,0.9523809523809523,1.0
SSK k comb,"(3, 4)",0.5,0,0.8292682926829269,0.8095238095238095,0.85
SSK k comb,"(3, 4)",0.5,1,0.7906976744186046,0.7391304347826086,0.85
SSK k comb,"(3, 4)",0.5,2,0.8780487804878048,0.8571428571428571,0.9
SSK k comb,"(3, 4)",0.5,3,0.8,0.9333333333333333,0.7
SSK k comb,"(3, 5)",0.5,0,0.8292682926829269,0.8095238095238095,0.85
SSK k comb,"(3, 5)",0.5,1,0.7906976744186046,0.7391304347826086,0.85
SSK k comb,"(3, 5)",0.5,2,0.8780487804878048,0.8571428571428571,0.9
SSK k comb,"(3, 5)",0.5,3,0.8,0.9333333333333333,0.7
SSK k comb,"(3, 6)",0.5,0,0.8292682926829269,0.8095238095238095,0.85
SSK k comb,"(3, 6)",0.5,1,0.7906976744186046,0.7391304347826086,0.85
SSK k comb,"(3, 6)",0.5,2,0.8780487804878048,0.8571428571428571,0.9
SSK k comb,"(3, 6)",0.5,3,0.8,0.9333333333333333,0.7
SSK k comb,"(3, 7)",0.5,0,0.8292682926829269,0.8095238095238095,0.85
SSK k comb,"(3, 7)",0.5,1,0.7906976744186046,0.7391304347826086,0.85
SSK k comb,"(3, 7)",0.5,2,0.8780487804878048,0.8571428571428571,0.9
SSK k comb,"(3, 7)",0.5,3,0.8,0.9333333333333333,0.7
SSK k comb,"(4, 5)",0.5,0,0.8205128205128205,0.8421052631578947,0.8
SSK k comb,"(4, 5)",0.5,1,0.7727272727272727,0.7083333333333334,0.85
SSK k comb,"(4, 5)",0.5,2,0.8780487804878048,0.8571428571428571,0.9
SSK k comb,"(4, 5)",0.5,3,0.8333333333333334,0.9375,0.75
SSK k comb,"(4, 6)",0.5,0,0.8421052631578948,0.8888888888888888,0.8
SSK k comb,"(4, 6)",0.5,1,0.7999999999999999,0.72,0.9
SSK k comb,"(4, 6)",0.5,2,0.8780487804878048,0.8571428571428571,0.9
SSK k comb,"(4, 6)",0.5,3,0.8333333333333334,0.9375,0.75
SSK k comb,"(4, 7)",0.5,0,0.8421052631578948,0.8888888888888888,0.8
SSK k comb,"(4, 7)",0.5,1,0.7999999999999999,0.72,0.9
SSK k comb,"(4, 7)",0.5,2,0.8780487804878048,0.8571428571428571,0.9
SSK k comb,"(4, 7)",0.5,3,0.8333333333333334,0.9375,0.75
SSK k comb,"(3, 4)",0.5,0,0.8421052631578948,0.8888888888888888,0.8
SSK k comb,"(3, 4)",0.5,1,0.8,0.6666666666666666,1.0
SSK k comb,"(3, 4)",0.5,2,0.8421052631578948,0.8888888888888888,0.8
SSK k comb,"(3, 4)",0.5,3,0.8235294117647058,1.0,0.7
SSK k comb,"(3, 5)",0.5,0,0.8648648648648648,0.9411764705882353,0.8
SSK k comb,"(3, 5)",0.5,1,0.8,0.6666666666666666,1.0
SSK k comb,"(3, 5)",0.5,2,0.8421052631578948,0.8888888888888888,0.8
SSK k comb,"(3, 5)",0.5,3,0.8571428571428571,1.0,0.75
SSK k comb,"(3, 6)",0.5,0,0.8648648648648648,0.9411764705882353,0.8
SSK k comb,"(3, 6)",0.5,1,0.8,0.6666666666666666,1.0
SSK k comb,"(3, 6)",0.5,2,0.8421052631578948,0.8888888888888888,0.8
SSK k comb,"(3, 6)",0.5,3,0.8571428571428571,1.0,0.75
SSK k comb,"(3, 7)",0.5,0,0.8648648648648648,0.9411764705882353,0.8
SSK k comb,"(3, 7)",0.5,1,0.8,0.6666666666666666,1.0
SSK k comb,"(3, 7)",0.5,2,0.8421052631578948,0.8888888888888888,0.8
SSK k comb,"(3, 7)",0.5,3,0.8571428571428571,1.0,0.75
SSK k comb,"(4, 5)",0.5,0,0.8648648648648648,0.9411764705882353,0.8
SSK k comb,"(4, 5)",0.5,1,0.8163265306122449,0.6896551724137931,1.0
SSK k comb,"(4, 5)",0.5,2,0.8717948717948718,0.8947368421052632,0.85
SSK k comb,"(4, 5)",0.5,3,0.8571428571428571,1.0,0.75
SSK k comb,"(4, 6)",0.5,0,0.8648648648648648,0.9411764705882353,0.8
SSK k comb,"(4, 6)",0.5,1,0.8163265306122449,0.6896551724137931,1.0
SSK k comb,"(4, 6)",0.5,2,0.8717948717948718,0.8947368421052632,0.85
SSK k comb,"(4, 6)",0.5,3,0.8571428571428571,1.0,0.75
SSK k comb,"(4, 7)",0.5,0,0.8648648648648648,0.9411764705882353,0.8
SSK k comb,"(4, 7)",0.5,1,0.8163265306122449,0.6896551724137931,1.0
SSK k comb,"(4, 7)",0.5,2,0.8717948717948718,0.8947368421052632,0.85
SSK k comb,"(4, 7)",0.5,3,0.8571428571428571,1.0,0.75
