Kernel,k,lambda,Class,F1-Score,Precision,Recall
SSK k comb,"(3, 4)",0.5,0,0.9500000000000001,0.95,0.95
SSK k comb,"(3, 4)",0.5,1,0.7804878048780488,0.7619047619047619,0.8
SSK k comb,"(3, 4)",0.5,2,0.8571428571428572,0.8181818181818182,0.9
SSK k comb,"(3, 4)",0.5,3,0.8648648648648648,0.9411764705882353,0.8
SSK k comb,"(3, 5)",0.5,0,0.9500000000000001,0.95,0.95
SSK k comb,"(3, 5)",0.5,1,0.7804878048780488,0.7619047619047619,0.8
SSK k comb,"(3, 5)",0.5,2,0.8571428571428572,0.8181818181818182,0.9
SSK k comb,"(3, 5)",0.5,3,0.8648648648648648,0.9411764705882353,0.8
SSK k comb,"(3, 6)",0.5,0,0.9500000000000001,0.95,0.95
SSK k comb,"(3, 6)",0.5,1,0.7804878048780488,0.7619047619047619,0.8
SSK k comb,"(3, 6)",0.5,2,0.8571428571428572,0.8181818181818182,0.9
SSK k comb,"(3, 6)",0.5,3,0.8648648648648648,0.9411764705882353,0.8
SSK k comb,"(3, 7)",0.5,0,0.9500000000000001,0.95,0.95
SSK k comb,"(3, 7)",0.5,1,0.7804878048780488,0.7619047619047619,0.8
SSK k comb,"(3, 7)",0.5,2,0.8571428571428572,0.8181818181818182,0.9
SSK k comb,"(3, 7)",0.5,3,0.8648648648648648,0.9411764705882353,0.8
SSK k comb,"(4, 5)",0.5,0,0.9500000000000001,0.95,0.95
SSK k comb,"(4, 5)",0.5,1,0.7804878048780488,0.7619047619047619,0.8
SSK k comb,"(4, 5)",0.5,2,0.8571428571428572,0.8181818181818182,0.9
SSK k comb,"(4, 5)",0.5,3,0.8648648648648648,0.9411764705882353,0.8
SSK k comb,"(4, 6)",0.5,0,0.9500000000000001,0.95,0.95
SSK k comb,"(4, 6)",0.5,1,0.7804878048780488,0.7619047619047619,0.8
SSK k comb,"(4, 6)",0.5,2,0.8571428571428572,0.8181818181818182,0.9
SSK k comb,"(4, 6)",0.5,3,0.8648648648648648,0.9411764705882353,0.8
SSK k comb,"(4, 7)",0.5,0,0.9500000000000001,0.95,0.95
SSK k comb,"(4, 7)",0.5,1,0.7804878048780488,0.7619047619047619,0.8
SSK k comb,"(4, 7)",0.5,2,0.8571428571428572,0.8181818181818182,0.9
SSK k comb,"(4, 7)",0.5,3,0.8648648648648648,0.9411764705882353,0.8
SSK k comb,"(3, 4)",0.5,0,0.8181818181818182,0.75,0.9
SSK k comb,"(3, 4)",0.5,1,0.8108108108108107,0.8823529411764706,0.75
SSK k comb,"(3, 4)",0.5,2,0.7368421052631577,0.7777777777777778,0.7
SSK k comb,"(3, 4)",0.5,3,0.8780487804878048,0.8571428571428571,0.9
SSK k comb,"(3, 5)",0.5,0,0.8181818181818182,0.75,0.9
SSK k comb,"(3, 5)",0.5,1,0.8108108108108107,0.8823529411764706,0.75
SSK k comb,"(3, 5)",0.5,2,0.7368421052631577,0.7777777777777778,0.7
SSK k comb,"(3, 5)",0.5,3,0.8780487804878048,0.8571428571428571,0.9
SSK k comb,"(3, 6)",0.5,0,0.8181818181818182,0.75,0.9
SSK k comb,"(3, 6)",0.5,1,0.8108108108108107,0.8823529411764706,0.75
SSK k comb,"(3, 6)",0.5,2,0.7368421052631577,0.7777777777777778,0.7
SSK k comb,"(3, 6)",0.5,3,0.8780487804878048,0.8571428571428571,0.9
