Kernel,Class,F1-Score,Precision,Recall,k,lambda
NGK,3,0.9743589743589743,1.0,0.95,6.0,
SSK,0,0.8421052631578948,0.8888888888888888,0.8,6.0,0.5
SSK,1,0.7999999999999999,0.72,0.9,6.0,0.5
SSK,2,0.8780487804878048,0.8571428571428571,0.9,6.0,0.5
SSK,3,0.8333333333333334,0.9375,0.75,6.0,0.5
NGK,0,0.9473684210526316,1.0,0.9,7.0,
NGK,1,0.9523809523809523,0.9090909090909091,1.0,7.0,
NGK,2,1.0,1.0,1.0,7.0,
NGK,3,1.0,1.0,1.0,7.0,
SSK,0,0.8421052631578948,0.8888888888888888,0.8,7.0,0.5
SSK,1,0.7999999999999999,0.72,0.9,7.0,0.5
SSK,2,0.8780487804878048,0.8571428571428571,0.9,7.0,0.5
SSK,3,0.8333333333333334,0.9375,0.75,7.0,0.5
NGK,0,0.8571428571428571,1.0,0.75,8.0,
NGK,1,0.888888888888889,0.8,1.0,8.0,
NGK,2,1.0,1.0,1.0,8.0,
NGK,3,1.0,1.0,1.0,8.0,
SSK,0,0.8421052631578948,0.8888888888888888,0.8,8.0,0.5
SSK,1,0.7999999999999999,0.72,0.9,8.0,0.5
SSK,2,0.8780487804878048,0.8571428571428571,0.9,8.0,0.5
SSK,3,0.8333333333333334,0.9375,0.75,8.0,0.5
NGK,0,0.888888888888889,1.0,0.8,10.0,
NGK,1,0.8636363636363635,0.7916666666666666,0.95,10.0,
NGK,2,0.9500000000000001,0.95,0.95,10.0,
NGK,3,1.0,1.0,1.0,10.0,
SSK,0,0.8421052631578948,0.8888888888888888,0.8,10.0,0.5
SSK,1,0.7999999999999999,0.72,0.9,10.0,0.5
SSK,2,0.8780487804878048,0.8571428571428571,0.9,10.0,0.5
SSK,3,0.8333333333333334,0.9375,0.75,10.0,0.5
NGK,0,0.888888888888889,1.0,0.8,12.0,
NGK,1,0.9090909090909091,0.8333333333333334,1.0,12.0,
NGK,2,0.975609756097561,0.9523809523809523,1.0,12.0,
NGK,3,0.9743589743589743,1.0,0.95,12.0,
SSK,0,0.8421052631578948,0.8888888888888888,0.8,12.0,0.5
SSK,1,0.7999999999999999,0.72,0.9,12.0,0.5
SSK,2,0.8780487804878048,0.8571428571428571,0.9,12.0,0.5
SSK,3,0.8333333333333334,0.9375,0.75,12.0,0.5
WK,0,0.9473684210526316,1.0,0.9,,
WK,1,0.9302325581395349,0.8695652173913043,1.0,,
WK,2,0.9743589743589743,1.0,0.95,,
WK,3,1.0,1.0,1.0,,
NGK,0,0.9189189189189189,1.0,0.85,3.0,
NGK,1,0.9302325581395349,0.8695652173913043,1.0,3.0,
NGK,2,1.0,1.0,1.0,3.0,
NGK,3,1.0,1.0,1.0,3.0,
SSK,0,0.7777777777777777,0.875,0.7,3.0,0.5
SSK,1,0.7843137254901961,0.6451612903225806,1.0,3.0,0.5
SSK,2,0.8205128205128205,0.8421052631578947,0.8,3.0,0.5
SSK,3,0.8235294117647058,1.0,0.7,3.0,0.5
NGK,0,0.9473684210526316,1.0,0.9,4.0,
NGK,1,0.9090909090909091,0.8333333333333334,1.0,4.0,
NGK,2,0.9473684210526316,1.0,0.9,4.0,
