Kernel,Class,F1-Score,Precision,Recall,k,lambda
NGK,1,0.9523809523809523,0.9090909090909091,1.0,3.0,
NGK,2,0.9473684210526316,1.0,0.9,3.0,
SSK,0,0.7777777777777777,0.875,0.7,3.0,0.5
SSK,1,0.631578947368421,0.6666666666666666,0.6,3.0,0.5
SSK,2,0.6956521739130435,0.6153846153846154,0.8,3.0,0.5
NGK,0,1.0,1.0,1.0,4.0,
NGK,1,0.9523809523809523,0.9090909090909091,1.0,4.0,
NGK,2,0.9473684210526316,1.0,0.9,4.0,
SSK,0,0.7777777777777777,0.875,0.7,4.0,0.5
SSK,1,0.631578947368421,0.6666666666666666,0.6,4.0,0.5
SSK,2,0.6956521739130435,0.6153846153846154,0.8,4.0,0.5
NGK,0,1.0,1.0,1.0,5.0,
NGK,1,0.9523809523809523,0.9090909090909091,1.0,5.0,
NGK,2,0.9473684210526316,1.0,0.9,5.0,
SSK,0,0.7777777777777777,0.875,0.7,5.0,0.5
SSK,1,0.631578947368421,0.6666666666666666,0.6,5.0,0.5
SSK,2,0.6956521739130435,0.6153846153846154,0.8,5.0,0.5
NGK,0,0.9473684210526316,1.0,0.9,6.0,
NGK,1,0.9090909090909091,0.8333333333333334,1.0,6.0,
NGK,2,0.9473684210526316,1.0,0.9,6.0,
SSK,0,0.7777777777777777,0.875,0.7,6.0,0.5
SSK,1,0.631578947368421,0.6666666666666666,0.6,6.0,0.5
SSK,2,0.6956521739130435,0.6153846153846154,0.8,6.0,0.5
NGK,0,0.9473684210526316,1.0,0.9,7.0,
NGK,1,0.9090909090909091,0.8333333333333334,1.0,7.0,
NGK,2,0.9473684210526316,1.0,0.9,7.0,
SSK,0,0.7777777777777777,0.875,0.7,7.0,0.5
SSK,1,0.631578947368421,0.6666666666666666,0.6,7.0,0.5
SSK,2,0.6956521739130435,0.6153846153846154,0.8,7.0,0.5
NGK,0,0.9473684210526316,1.0,0.9,8.0,
NGK,1,0.9090909090909091,0.8333333333333334,1.0,8.0,
NGK,2,0.9473684210526316,1.0,0.9,8.0,
SSK,0,0.7777777777777777,0.875,0.7,8.0,0.5
SSK,1,0.631578947368421,0.6666666666666666,0.6,8.0,0.5
SSK,2,0.6956521739130435,0.6153846153846154,0.8,8.0,0.5
NGK,0,0.9,0.9,0.9,10.0,
NGK,1,0.9,0.9,0.9,10.0,
NGK,2,0.9,0.9,0.9,10.0,
SSK,0,0.7777777777777777,0.875,0.7,10.0,0.5
SSK,1,0.631578947368421,0.6666666666666666,0.6,10.0,0.5
SSK,2,0.6956521739130435,0.6153846153846154,0.8,10.0,0.5
NGK,0,0.9473684210526316,1.0,0.9,12.0,
NGK,1,0.8571428571428572,0.8181818181818182,0.9,12.0,
NGK,2,0.9,0.9,0.9,12.0,
SSK,0,0.7777777777777777,0.875,0.7,12.0,0.5
SSK,1,0.631578947368421,0.6666666666666666,0.6,12.0,0.5
SSK,2,0.6956521739130435,0.6153846153846154,0.8,12.0,0.5
WK,0,1.0,1.0,1.0,,
WK,1,0.9523809523809523,0.9090909090909091,1.0,,
WK,2,0.9473684210526316,1.0,0.9,,
NGK,0,0.9473684210526316,1.0,0.9,3.0,
NGK,1,0.8695652173913044,0.7692307692307693,1.0,3.0,
NGK,2,0.888888888888889,1.0,0.8,3.0,
SSK,0,0.8181818181818182,0.75,0.9,3.0,0.5
SSK,1,0.7,0.7,0.7,3.0,0.5
SSK,2,0.7777777777777777,0.875,0.7,3.0,0.5
NGK,0,1.0,1.0,1.0,4.0,
NGK,1,0.9523809523809523,0.9090909090909091,1.0,4.0,
NGK,2,0.9473684210526316,1.0,0.9,4.0,
SSK,0,0.8181818181818182,0.75,0.9,4.0,0.5
SSK,1,0.7,0.7,0.7,4.0,0.5
SSK,2,0.7777777777777777,0.875,0.7,4.0,0.5
NGK,0,1.0,1.0,1.0,5.0,
NGK,1,0.9090909090909091,0.8333333333333334,1.0,5.0,
NGK,2,0.888888888888889,1.0,0.8,5.0,
SSK,0,0.8571428571428572,0.8181818181818182,0.9,5.0,0.5
SSK,1,0.761904761904762,0.7272727272727273,0.8,5.0,0.5
SSK,2,0.7777777777777777,0.875,0.7,5.0,0.5
NGK,0,1.0,1.0,1.0,6.0,
NGK,1,0.8695652173913044,0.7692307692307693,1.0,6.0,
NGK,2,0.8235294117647058,1.0,0.7,6.0,
SSK,0,0.8571428571428572,0.8181818181818182,0.9,6.0,0.5
SSK,1,0.761904761904762,0.7272727272727273,0.8,6.0,0.5
SSK,2,0.7777777777777777,0.875,0.7,6.0,0.5
NGK,0,1.0,1.0,1.0,7.0,
NGK,1,0.9090909090909091,0.8333333333333334,1.0,7.0,
NGK,2,0.888888888888889,1.0,0.8,7.0,
SSK,0,0.8571428571428572,0.8181818181818182,0.9,7.0,0.5
SSK,1,0.761904761904762,0.7272727272727273,0.8,7.0,0.5
SSK,2,0.7777777777777777,0.875,0.7,7.0,0.5
NGK,0,0.9473684210526316,1.0,0.9,8.0,
NGK,1,0.8695652173913044,0.7692307692307693,1.0,8.0,
NGK,2,0.888888888888889,1.0,0.8,8.0,
SSK,0,0.8571428571428572,0.8181818181818182,0.9,8.0,0.5
SSK,1,0.761904761904762,0.7272727272727273,0.8,8.0,0.5
SSK,2,0.7777777777777777,0.875,0.7,8.0,0.5
NGK,0,0.888888888888889,1.0,0.8,10.0,
NGK,1,0.8,0.6666666666666666,1.0,10.0,
NGK,2,0.8235294117647058,1.0,0.7,10.0,
SSK,0,0.8571428571428572,0.8181818181818182,0.9,10.0,0.5
SSK,1,0.761904761904762,0.7272727272727273,0.8,10.0,0.5
SSK,2,0.7777777777777777,0.875,0.7,10.0,0.5
NGK,0,0.8421052631578948,0.8888888888888888,0.8,12.0,
NGK,1,0.75,0.6428571428571429,0.9,12.0,
NGK,2,0.8235294117647058,1.0,0.7,12.0,
SSK,0,0.8571428571428572,0.8181818181818182,0.9,12.0,0.5
SSK,1,0.761904761904762,0.7272727272727273,0.8,12.0,0.5
SSK,2,0.7777777777777777,0.875,0.7,12.0,0.5
WK,0,0.9473684210526316,1.0,0.9,,
WK,1,0.9,0.9,0.9,,
WK,2,0.9523809523809523,0.9090909090909091,1.0,,
NGK,0,0.9473684210526316,1.0,0.9,3.0,
NGK,1,0.9090909090909091,0.8333333333333334,1.0,3.0,
NGK,2,0.9473684210526316,1.0,0.9,3.0,
SSK,0,0.7,0.7,0.7,3.0,0.5
SSK,1,0.7,0.7,0.7,3.0,0.5
SSK,2,0.7,0.7,0.7,3.0,0.5
NGK,0,0.9473684210526316,1.0,0.9,4.0,
NGK,1,0.9090909090909091,0.8333333333333334,1.0,4.0,
NGK,2,0.9473684210526316,1.0,0.9,4.0,
SSK,0,0.7,0.7,0.7,4.0,0.5
SSK,1,0.7,0.7,0.7,4.0,0.5
SSK,2,0.7,0.7,0.7,4.0,0.5
NGK,0,0.9473684210526316,1.0,0.9,5.0,
NGK,1,0.9523809523809523,0.9090909090909091,1.0,5.0,
NGK,2,1.0,1.0,1.0,5.0,
SSK,0,0.7,0.7,0.7,5.0,0.5
SSK,1,0.7,0.7,0.7,5.0,0.5
SSK,2,0.7,0.7,0.7,5.0,0.5
NGK,0,0.888888888888889,1.0,0.8,6.0,
NGK,1,0.9090909090909091,0.8333333333333334,1.0,6.0,
NGK,2,1.0,1.0,1.0,6.0,
SSK,0,0.7,0.7,0.7,6.0,0.5
SSK,1,0.7,0.7,0.7,6.0,0.5
SSK,2,0.7,0.7,0.7,6.0,0.5
NGK,0,0.888888888888889,1.0,0.8,7.0,
NGK,1,0.9090909090909091,0.8333333333333334,1.0,7.0,
NGK,2,1.0,1.0,1.0,7.0,
SSK,0,0.7,0.7,0.7,7.0,0.5
SSK,1,0.7,0.7,0.7,7.0,0.5
SSK,2,0.7,0.7,0.7,7.0,0.5
NGK,0,0.888888888888889,1.0,0.8,8.0,
NGK,1,0.9090909090909091,0.8333333333333334,1.0,8.0,
NGK,2,1.0,1.0,1.0,8.0,
SSK,0,0.7,0.7,0.7,8.0,0.5
SSK,1,0.7,0.7,0.7,8.0,0.5
SSK,2,0.7,0.7,0.7,8.0,0.5
NGK,0,0.888888888888889,1.0,0.8,10.0,
NGK,1,0.9090909090909091,0.8333333333333334,1.0,10.0,
NGK,2,1.0,1.0,1.0,10.0,
SSK,0,0.7,0.7,0.7,10.0,0.5
SSK,1,0.7,0.7,0.7,10.0,0.5
SSK,2,0.7,0.7,0.7,10.0,0.5
NGK,0,0.888888888888889,1.0,0.8,12.0,
NGK,1,0.9090909090909091,0.8333333333333334,1.0,12.0,
NGK,2,1.0,1.0,1.0,12.0,
SSK,0,0.7,0.7,0.7,12.0,0.5
SSK,1,0.7,0.7,0.7,12.0,0.5
SSK,2,0.7,0.7,0.7,12.0,0.5
